step,timestamp,bandwidth_kbps_raw,bandwidth_bps,bandwidth_mbps
173,2018.01.19_07.35.03,62876.0,62876000.0,62.876
174,2018.01.19_07.35.04,63469.0,63469000.0,63.469
175,2018.01.19_07.35.05,53515.0,53515000.0,53.515
176,2018.01.19_07.35.06,51781.0,51781000.0,51.781
177,2018.01.19_07.35.07,36683.0,36683000.0,36.683
178,2018.01.19_07.35.08,40385.0,40385000.0,40.385
179,2018.01.19_07.35.09,21921.0,21921000.0,21.921
180,2018.01.19_07.35.10,25611.0,25611000.0,25.611
181,2018.01.19_07.35.11,34905.0,34905000.0,34.905
182,2018.01.19_07.35.12,37276.0,37276000.0,37.276
183,2018.01.19_07.35.14,52006.0,52006000.0,52.006
184,2018.01.19_07.35.15,49690.0,49690000.0,49.69
185,2018.01.19_07.35.16,19202.0,19202000.0,19.202
186,2018.01.19_07.35.17,24962.0,24962000.0,24.962
187,2018.01.19_07.35.18,21618.0,21618000.0,21.618
188,2018.01.19_07.35.19,20992.0,20992000.0,20.992
189,2018.01.19_07.35.20,11184.0,11184000.0,11.184
190,2018.01.19_07.35.21,8164.0,8164000.0,8.164
191,2018.01.19_07.35.22,14070.0,14070000.0,14.07
192,2018.01.19_07.35.24,14203.0,14203000.0,14.203
193,2018.01.19_07.35.25,14103.0,14103000.0,14.103
194,2018.01.19_07.35.26,11463.0,11463000.0,11.463
195,2018.01.19_07.35.27,12067.0,12067000.0,12.067
196,2018.01.19_07.35.28,15993.0,15993000.0,15.993
197,2018.01.19_07.35.29,15568.0,15568000.0,15.568
198,2018.01.19_07.35.30,11553.0,11553000.0,11.553
199,2018.01.19_07.35.31,4015.0,4015000.0,4.015
200,2018.01.19_07.35.32,3512.0,3512000.0,3.512
201,2018.01.19_07.35.34,6978.0,6978000.0,6.978
202,2018.01.19_07.35.35,7772.0,7772000.0,7.772
203,2018.01.19_07.35.36,8689.0,8689000.0,8.689
204,2018.01.19_07.35.37,10635.0,10635000.0,10.635
205,2018.01.19_07.35.38,13141.0,13141000.0,13.141
206,2018.01.19_07.35.39,19415.0,19415000.0,19.415
207,2018.01.19_07.35.40,15724.0,15724000.0,15.724
208,2018.01.19_07.35.41,15333.0,15333000.0,15.333
209,2018.01.19_07.35.43,10177.0,10177000.0,10.177
210,2018.01.19_07.35.44,13868.0,13868000.0,13.868
211,2018.01.19_07.35.45,21070.0,21070000.0,21.07
212,2018.01.19_07.35.46,23631.0,23631000.0,23.631
213,2018.01.19_07.35.47,21529.0,21529000.0,21.529
214,2018.01.19_07.35.48,21305.0,21305000.0,21.305
215,2018.01.19_07.35.49,27624.0,27624000.0,27.624
216,2018.01.19_07.35.50,36582.0,36582000.0,36.582
217,2018.01.19_07.35.51,48784.0,48784000.0,48.784
218,2018.01.19_07.35.53,26472.0,26472000.0,26.472
219,2018.01.19_07.35.54,18576.0,18576000.0,18.576
220,2018.01.19_07.35.55,27054.0,27054000.0,27.054
221,2018.01.19_07.35.56,42756.0,42756000.0,42.756
222,2018.01.19_07.35.57,42555.0,42555000.0,42.555
223,2018.01.19_07.35.58,43528.0,43528000.0,43.528
224,2018.01.19_07.35.59,33585.0,33585000.0,33.585
225,2018.01.19_07.36.00,34905.0,34905000.0,34.905
226,2018.01.19_07.36.01,25521.0,25521000.0,25.521
227,2018.01.19_07.36.02,25521.0,25521000.0,25.521
228,2018.01.19_07.36.02,23240.0,23240000.0,23.24
229,2018.01.19_07.36.04,30386.0,30386000.0,30.386
230,2018.01.19_07.36.05,27836.0,27836000.0,27.836
231,2018.01.19_07.36.06,16865.0,16865000.0,16.865
232,2018.01.19_07.36.07,24470.0,24470000.0,24.47
233,2018.01.19_07.36.08,21372.0,21372000.0,21.372
234,2018.01.19_07.36.09,13163.0,13163000.0,13.163
235,2018.01.19_07.36.10,23620.0,23620000.0,23.62
236,2018.01.19_07.36.11,27479.0,27479000.0,27.479
237,2018.01.19_07.36.12,20970.0,20970000.0,20.97
238,2018.01.19_07.36.13,26964.0,26964000.0,26.964
239,2018.01.19_07.36.15,7807.0,7807000.0,7.807
240,2018.01.19_07.36.16,10637.0,10637000.0,10.637
241,2018.01.19_07.36.17,22088.0,22088000.0,22.088
242,2018.01.19_07.36.18,28597.0,28597000.0,28.597
243,2018.01.19_07.36.19,25287.0,25287000.0,25.287
244,2018.01.19_07.36.20,29682.0,29682000.0,29.682
245,2018.01.19_07.36.21,30912.0,30912000.0,30.912
246,2018.01.19_07.36.22,34592.0,34592000.0,34.592
247,2018.01.19_07.36.23,26483.0,26483000.0,26.483
248,2018.01.19_07.36.24,16395.0,16395000.0,16.395
249,2018.01.19_07.36.26,36963.0,36963000.0,36.963
250,2018.01.19_07.36.27,60572.0,60572000.0,60.572
251,2018.01.19_07.36.28,56143.0,56143000.0,56.143
252,2018.01.19_07.36.29,43091.0,43091000.0,43.091
253,2018.01.19_07.36.30,50383.0,50383000.0,50.383
254,2018.01.19_07.36.31,48930.0,48930000.0,48.93
255,2018.01.19_07.36.32,26662.0,26662000.0,26.662
256,2018.01.19_07.36.33,14337.0,14337000.0,14.337
257,2018.01.19_07.36.34,10434.0,10434000.0,10.434
258,2018.01.19_07.36.35,7157.0,7157000.0,7.157
259,2018.01.19_07.36.37,11463.0,11463000.0,11.463
260,2018.01.19_07.36.38,25309.0,25309000.0,25.309
261,2018.01.19_07.36.39,43282.0,43282000.0,43.282
262,2018.01.19_07.36.40,45698.0,45698000.0,45.698
263,2018.01.19_07.36.41,35732.0,35732000.0,35.732
264,2018.01.19_07.36.42,42186.0,42186000.0,42.186
265,2018.01.19_07.36.43,48997.0,48997000.0,48.997
266,2018.01.19_07.36.44,51122.0,51122000.0,51.122
267,2018.01.19_07.36.45,45507.0,45507000.0,45.507
268,2018.01.19_07.36.46,33518.0,33518000.0,33.518
269,2018.01.19_07.36.47,39725.0,39725000.0,39.725
270,2018.01.19_07.36.49,39166.0,39166000.0,39.166
271,2018.01.19_07.36.50,36504.0,36504000.0,36.504
272,2018.01.19_07.36.51,24515.0,24515000.0,24.515
273,2018.01.19_07.36.52,29536.0,29536000.0,29.536
